Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
BMW,2018,Used,19830.0,39799.0,4.4,Black ,AWD,0.0,0.0,Gasoline ,2.0,0.0,True
Jeep,2019,Used,52245.0,22966.0,4.2,Black ,4WD,19.0,27.0,Gasoline ,3.2,1.0,False
Cadillac,2019,Used,94008.0,26995.0,4.1,Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,False
INFINITI,2020,Used,22901.0,38713.0,4.1,Blue ,RWD,20.0,27.0,Gasoline ,3.0,0.0,True
Volkswagen,2014,Used,48650.0,16988.0,4.5,Titan Black ,FWD,25.0,33.0,Gasoline ,1.8,0.0,True
BMW,2015,Used,73660.0,22843.0,4.0,– ,RWD,21.0,32.0,Gasoline ,3.0,0.0,False
Audi,2019,Used,33832.0,39990.0,4.9,Black / Rock Gray ,AWD,23.0,29.0,Gasoline ,2.0,0.0,True
Mercedes-Benz,2016,Used,59386.0,71995.0,4.6,Designo Black ,AWD,12.0,14.0,Gasoline ,5.5,1.0,False
Lexus,2023,New,0.0,106615.0,4.9,Red ,RWD,15.0,25.0,Gasoline ,5.0,0.0,others
Volkswagen,2016,Used,145302.0,9495.0,4.381503720140973,Black ,FWD,25.0,35.0,Gasoline ,1.8,1.0,False
Toyota,2015,Used,91655.0,13980.0,4.6,Gray ,FWD,44.0,40.0,Gasoline ,1.8,0.0,False
INFINITI,2017,Used,111586.0,17995.0,4.381503720140973,Gray ,AWD,19.0,27.0,Gasoline ,3.0,1.0,False
Porsche,2015,Used,48163.0,52985.0,4.2,Beige ,RWD,21.0,30.0,Gasoline ,3.4,0.0,False
Mercedes-Benz,2017,Used,5350.0,69800.0,4.381503720140973,Black ,AWD,15.0,23.0,Gasoline ,5.5,1.0,True
Volkswagen,2022,Used,12959.0,43949.0,4.3,Blue ,AWD,23.0,30.0,Gasoline ,2.0,0.0,False
Cadillac,2014,Used,44500.0,16000.0,4.7,Medium Titanium / Jet Black ,FWD,18.0,28.0,Gasoline ,3.6,1.0,False
Chevrolet,2014,Used,60261.0,38595.0,4.3,Jet Black ,RWD,17.0,29.0,Gasoline ,6.2,0.0,False
Ford,2021,Used,32395.0,21987.0,4.6,Dark Earth Gray ,AWD,26.0,31.0,Gasoline ,1.5,1.0,True
Honda,2018,Used,93204.0,17999.0,4.8,Black ,FWD,20.59922502075837,28.0,Hybrid ,1.5,0.0,True
Subaru,2020,Used,27861.0,35995.0,4.4,Black ,AWD,16.0,22.0,Gasoline ,2.5,0.0,False
Porsche,2018,Used,12679.0,53995.0,4.4,Black ,RWD,21.0,28.0,Gasoline ,2.0,0.0,False
BMW,2017,Used,71099.0,38995.0,4.1,Black ,AWD,14.0,19.0,Gasoline ,4.4,1.0,True
BMW,2018,Used,91475.0,22440.0,4.1,Oyster ,AWD,20.0,29.0,Gasoline ,3.0,1.0,False
BMW,2017,Used,14826.0,78800.0,4.7,Black ,RWD,14.0,20.0,Gasoline ,4.4,0.0,False
Mercedes-Benz,2019,Used,38545.0,48999.0,4.5,Black ,AWD,21.0,27.0,Gasoline ,3.0,0.0,True
BMW,2019,Used,31010.0,53895.0,4.381503720140973,Black ,RWD,14.0,20.0,Gasoline ,4.4,0.0,False
Audi,2021,Used,60120.0,49980.0,4.7,Black ,AWD,15.0,21.0,Gasoline ,4.0,1.0,True
McLaren,2016,Used,852.0,339800.0,4.7,Carbon Black with McLaren Orange ,RWD,16.0,22.0,Gasoline ,3.8,0.0,False
Porsche,2017,Used,41311.0,45911.0,4.381503720140973,Black ,RWD,21.0,28.0,Gasoline ,2.0,0.0,False
Cadillac,2022,Used,58099.0,73995.0,4.6,Jet Black With Jet Black Accents ,RWD,13.0,22.0,Gasoline ,6.2,0.0,True
Volkswagen,2019,Used,98185.0,12200.0,4.6,Titan Black ,AWD,22.0,29.0,Gasoline ,1.8,0.0,False
Genesis,2023,New,5.0,89485.0,4.1,Urban Brown/Glacier White ,AWD,17.0,24.0,Gasoline ,3.5,0.0,others
Chevrolet,2015,Used,105307.0,14995.0,4.381503720140973,Dark Titanium/Jet Black ,FWD,22.0,31.0,Gasoline ,2.5,0.0,False
Chevrolet,2018,Used,112099.0,15995.0,4.381503720140973,Jet Black ,FWD,22.0,30.0,Gasoline ,2.5,0.0,True
Dodge,2015,Used,132502.0,14995.0,4.381503720140973,Black ,RWD,18.0,25.0,Gasoline ,3.6,1.0,False
Ford,2019,Used,66533.0,15903.0,4.5,Charcoal Black ,4WD,22.0,28.0,Gasoline ,1.5,0.0,False
Subaru,2019,Used,53038.0,30990.0,4.9,Black ,AWD,17.0,22.0,Gasoline ,2.5,1.0,False
Volkswagen,2018,Certified,41540.0,32490.0,4.9,Titan Black ,AWD,21.0,29.0,Gasoline ,2.0,0.0,False
Chevrolet,2021,Used,29804.0,21000.0,4.5,Jet Black ,FWD,29.0,36.0,Gasoline ,1.5,0.0,False
Jeep,2017,Used,97142.0,24895.0,4.7,Black ,4WD,16.0,21.0,Gasoline ,3.6,1.0,False
Chevrolet,2019,Used,29112.0,19998.0,4.381503720140973,Gray ,FWD,26.0,32.0,Gasoline ,1.5,1.0,False
Chevrolet,2017,Used,41805.0,19745.0,4.0,– ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Chevrolet,2017,Used,22401.0,16112.0,4.0,Gray ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Ford,2021,Used,31886.0,21056.0,4.0,– ,FWD,28.0,34.0,Gasoline ,1.5,1.0,True
Jeep,2020,Used,56948.0,15895.0,4.5,Black ,FWD,22.0,30.0,Gasoline ,2.4,1.0,False
Mercedes-Benz,2016,Used,98699.0,15499.0,4.3,Black ,AWD,21.0,28.0,Gasoline ,2.0,1.0,False
BMW,2018,Used,49300.0,35350.0,4.381503720140973,Brown ,AWD,20.59922502075837,28.0,Gasoline ,4.4,0.0,False
Lexus,2023,New,4.0,106929.0,4.9,Black ,RWD,15.0,25.0,Gasoline ,5.0,0.0,others
Mercedes-Benz,2019,Used,75840.0,65995.0,5.0,White ,AWD,17.0,26.0,Gasoline ,4.0,0.0,False
Mercedes-Benz,2018,Used,65226.0,69995.0,3.7,designo Porcelain/Blue ,AWD,17.0,27.0,Gasoline ,4.0,1.0,True
GMC,2014,Used,62762.0,37000.0,4.381503720140973,Other ,RWD,13.0,18.0,Gasoline ,5.3,0.0,False
Mercedes-Benz,2016,Used,61546.0,74500.0,4.9,designo Black ,AWD,12.0,14.0,Gasoline ,5.5,1.0,False
Mercedes-Benz,2020,Used,11373.0,43861.0,4.381503720140973,Black ,RWD,23.0,32.0,Gasoline ,2.0,0.0,True
Ford,2022,Used,9843.0,22995.0,4.1,Dark Earth Gray ,AWD,26.0,31.0,Gasoline ,1.5,0.0,True
INFINITI,2018,Used,70557.0,23449.0,4.3,Graphite ,RWD,19.0,28.0,Gasoline ,3.0,1.0,False
BMW,2014,Used,70764.0,23149.0,4.3,Saddle Brown ,AWD,20.0,30.0,Gasoline ,3.0,1.0,False
Volkswagen,2014,Used,37093.0,20555.0,4.3,– ,FWD,21.0,27.0,Gasoline ,2.5,1.0,False
BMW,2020,Used,31351.0,42888.0,4.3,Black / Oyster ,AWD,20.0,28.0,Gasoline ,3.0,1.0,True
BMW,2017,Used,57587.0,39549.0,4.3,Vermillion Red ,AWD,15.0,24.0,Gasoline ,4.4,1.0,False
Maserati,2017,Used,68076.0,30990.0,4.8,Red ,AWD,14.0,20.0,Gasoline ,3.0,0.0,False
Audi,2021,Used,57253.0,25988.0,4.5,Black ,AWD,23.0,28.0,Gasoline ,2.0,0.0,False
Subaru,2014,Used,62891.0,16987.0,4.4,Black ,AWD,25.0,33.0,Gasoline ,2.96465882923282,0.0,True
Lexus,2020,Used,58519.0,27849.0,4.5,Black ,AWD,18.0,24.0,Gasoline ,3.5,0.0,False
BMW,2015,Used,50750.0,40990.0,5.0,Mugello Red ,AWD,14.0,19.0,Gasoline ,4.4,0.0,False
Nissan,2017,Used,29971.0,24985.0,4.381503720140973,Charcoal ,FWD,26.0,33.0,Gasoline ,2.5,0.0,False
Kia,2019,Used,70533.0,17785.0,4.4,Stone Beige ,FWD,22.0,29.0,Gasoline ,2.4,0.0,True
Lexus,2021,Used,21993.0,43995.0,4.9,Birch ,AWD,18.0,25.0,Gasoline ,3.5,0.0,True
Nissan,2021,Used,14948.0,24995.0,4.9,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,0.0,True
